true_label	prediction	id	line	sentence	connector_claims	falsche_annotation	same sentence	comment	arguments
supports	undetected	A33[5602:9685]	32				o	long range; seems to be not common for data -> background (reference, closest was detected)	data,background_claim
supports	undetected	A33[5602:9685]	32				o	long range; seems to be not common for data -> background (reference, closest was detected)	data,background_claim
supports	undetected	A33[5602:9685]	32				o	long range; seems to be not common for data -> background (reference, closest was detected)	data,background_claim
supports	undetected	A33[9685:14720]	4		to achieve this		o	second adu contains "we need", disctractor (contaridicts)? 	own_claim
supports	undetected	A33[9685:14720]	6		-these two goals:		o	"heading" not recognized	own_claim
supports	undetected	A33[9685:14720]	6		as a result		o	not attached to "heading", but to one of its premises (also falsely connected with other target)	own_claim
supports	undetected	A33[9685:14720]	6		as a result		o	not attached to "heading", but to one of its premises (also falsely connected with other target)	own_claim
supports	undetected	A33[9685:14720]	10		specifically		o	falsely attached to main clause, but it is an specification of the sub clause (which is even closer); hard	own_claim
supports	undetected	A33[9685:14720]	21				o	long range (one adu in between); long second adu with formula	own_claim
supports	undetected	A33[9685:14720]	25				x	kind of abbreviation with bracktes, but containg a vers short formula; detecetd as parts_of_same	own_claim
supports	undetected	A33[9685:14720]	26		in this		o	wrongly attached to other adu connected falsely with parts_of_same	own_claim
supports	undetected	A33[9685:14720]	49		COLON		x	wrong direction, could be caused by colon that does not introduce a detailed explanation, but a conclusion/implication	own_claim
supports	supports	A32[17722:25261]	9		as		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	11		as described in 		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	14		for		x	"for the reasonable ..." -> own_claim; same sentence	data,own_claim
supports	supports	A32[17722:25261]	18		as stated in+BRACKETS		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	18		if		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	19		as		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	19		therefore		x	same sentence	own_claim
supports	supports	A32[17722:25261]	24		BRACKETS		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	35		particularly+BRACKETS		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	36				x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	39		as stated in		x	"Section"; same sentence	data,own_claim
supports	supports	A32[17722:25261]	40				x	"hence" is close, but does not belong to it; same sentence	data,own_claim
supports	supports	A32[17722:25261]	42		if		x	same sentence	own_claim
supports	supports	A32[17722:25261]	50		as shown in		x	"Figure" -> own_claim; same sentence	data,own_claim
supports	supports	A32[17722:25261]	51		as		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	51		BRACKETS		x	"Figure" -> own_claim; same sentence	data,own_claim
supports	supports	A32[17722:25261]	51		BRACKETS		x	"Figure" -> own_claim; same sentence	data,own_claim
supports	supports	A32[17722:25261]	53		for		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	53		as		x	same sentence	own_claim
supports	supports	A32[17722:25261]	54		SEMICOLON		x	contains numbers; same sentence	data,own_claim
supports	supports	A32[17722:25261]	55		indicates that		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	57		as		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	61		as		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	67		BRACKETS		x	"Figure" -> own_claim; same sentence	data,own_claim
supports	supports	A32[17722:25261]	67		if		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	69				x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	69		when		x	same sentence	data,own_claim
supports	supports	A32[17722:25261]	70				o	wrong annotation (missing adu annotation for figure description linking data "Figure" with own_claim(s))	data,own_claim
supports	supports	A32[1787:4935]	6		in order to		x	same sentence	data,background_claim
supports	supports	A32[1787:4935]	7		SQUAREBRACKETS		x	ref; same sentence	data,background_claim
supports	supports	A32[1787:4935]	11		due to		x	same sentence	data,background_claim
supports	supports	A32[1787:4935]	11		SQUAREBRACKETS		x	ref; same sentence	data,background_claim
supports	supports	A32[1787:4935]	11		SQUAREBRACKETS		x	ref; same sentence	data,background_claim
supports	supports	A32[1787:4935]	11		SQUAREBRACKETS		x	ref; same sentence	data,background_claim
supports	supports	A32[1787:4935]	11		SQUAREBRACKETS		x	ref; same sentence	data,background_claim
supports	supports	A32[1787:4935]	16		SQUAREBRACKETS		x	ref; same sentence	data,background_claim
supports	supports	A32[1787:4935]	21		SQUAREBRACKETS		x	ref; non contiguous; same sentence	data,background_claim
supports	supports	A32[1787:4935]	21		SQUAREBRACKETS		x	ref; non contiguous; same sentence	data,background_claim
supports	supports	A32[1787:4935]	21		SQUAREBRACKETS		x	ref; non contiguous; same sentence	data,background_claim
supports	supports	A32[1787:4935]	21		SQUAREBRACKETS		x	ref; non contiguous; same sentence	data,background_claim
supports	supports	A32[1787:4935]	21		SQUAREBRACKETS		x	ref; non contiguous; same sentence	data,background_claim
supports	supports	A32[1787:4935]	21		SQUAREBRACKETS		x	ref; non contiguous; same sentence	data,background_claim
supports	supports	A32[1787:4935]	26		especially+BRACKETS		x	same sentence	data,background_claim
supports	supports	A32[1787:4935]	32		SQUAREBRACKETS		x	ref; same sentence	data,background_claim
supports	supports	A32[1787:4935]	34		SQUAREBRACKETS		x	ref; same sentence	data,background_claim
supports	supports	A32[1787:4935]	34		SQUAREBRACKETS		x	ref; same sentence	data,background_claim
supports	supports	A32[1787:4935]	35		SQUAREBRACKETS		x	ref; same sentence	data,background_claim
supports	supports	A32[25261:27768]	7				x	data in between non contiguous; same sentence	data,own_claim
supports	supports	A32[25261:27768]	8		as explained in		x	"section"; same sentence	data,own_claim
supports	supports	A32[25261:27768]	9		in		x	"Figure"; same sentence	data,own_claim
supports	supports	A32[25261:27768]	19		as		x	same sentence	own_claim
supports	supports	A32[25261:27768]	23		once		x	same sentence	data,own_claim
supports	supports	A32[27768:28160]	3		such as		x	example; same sentence	data,own_claim
supports	supports	A32[4935:7737]	4		depicts how		x	"Figure"; same sentence	data,own_claim
supports	supports	A32[4935:7737]	5		as		x	same sentence	own_claim
supports	supports	A32[4935:7737]	6		for		x	same sentence	data,own_claim
supports	supports	A32[4935:7737]	8		see typical+BRACKETS		x	"Figure"; same sentence	data,own_claim
supports	supports	A32[4935:7737]	11		as		x	same sentence	own_claim
supports	supports	A32[4935:7737]	12		in		x	"in the xxx situattion," -> own_claim; same sentence	data,own_claim
supports	supports	A32[4935:7737]	12		consequently		o		own_claim
supports	supports	A32[4935:7737]	14		if		x	same sentence	data,own_claim
supports	supports	A32[4935:7737]	15		thus		o		own_claim
supports	supports	A32[4935:7737]	25		points out		x	"Section"; same sentence	data,own_claim
supports	supports	A32[7737:17722]	15				x	data in between non contiguous; same sentence	data,own_claim
supports	supports	A32[7737:17722]	35		such as		x	example; same sentence	data,own_claim
supports	supports	A32[7737:17722]	79		as		x	same sentence; very long; same sentence	data,own_claim
supports	supports	A32[7737:17722]	81		therefore		x	same sentence	own_claim
supports	supports	A32[7737:17722]	84				x	same sentence	data,own_claim
supports	supports	A32[7737:17722]	94		if		x	same sentence	data,own_claim
supports	supports	A32[7737:17722]	95		for		x	same sentence	data,own_claim
supports	supports	A32[7737:17722]	98		introduces		x	"section"; same sentence	data,own_claim
supports	supports	A32[7737:17722]	101		for example		o	longer	data,own_claim
supports	supports	A32[7737:17722]	106		therefore		o		data,own_claim
supports	supports	A32[7737:17722]	109		assume		o	"assume that ... then"	data,own_claim
supports	supports	A33[14720:20675]	6				o		data,own_claim
supports	supports	A33[14720:20675]	8		SQUAREBRACKETS		x	ref; same sentence	data,background_claim
supports	supports	A33[14720:20675]	8		SQUAREBRACKETS		x	ref; same sentence	data,background_claim
supports	supports	A33[14720:20675]	8		SQUAREBRACKETS		x	ref; same sentence	data,background_claim
supports	supports	A33[14720:20675]	26		see		o	"section"	data,own_claim
supports	supports	A33[14720:20675]	26				o		data,own_claim
supports	supports	A33[14720:20675]	29		as shown in		x	"figure"	data,own_claim
supports	supports	A33[14720:20675]	39		shows that		x	"figure"	data,own_claim
supports	supports	A33[14720:20675]	40		because		x	"because ..., there ..."	own_claim
supports	supports	A33[14720:20675]	45		in contrast+in		x		data,own_claim
supports	supports	A33[14720:20675]	52		SQUAREBRACKETS		x	ref	data,own_claim
supports	supports	A33[14720:20675]	53		SQUAREBRACKETS		x	ref	data,background_claim
supports	supports	A33[14720:20675]	56		COLON		x	"...: if ..., then ..." (note that the heading, i.e the part before colon, is targeted)	own_claim
supports	supports	A33[14720:20675]	56		if then		x		data,own_claim
supports	supports	A33[14720:20675]	56		because+BRACKETS		x		data,own_claim
supports	supports	A33[1689:5602]	10		such as+SQUAREBRACKETS		x	data in between non contiguous	data,background_claim
supports	supports	A33[1689:5602]	16		such as		x	example	data,background_claim
supports	supports	A33[1689:5602]	19		when		x		data,background_claim
supports	supports	A33[1689:5602]	23		because		x		data,background_claim
supports	supports	A33[1689:5602]	25		BRACKETS		x	"figure"	data,own_claim
supports	supports	A33[1689:5602]	28		BRACKETS+SQUAREBRACKETS		x	data in between non contiguous	data,background_claim
supports	supports	A33[1689:5602]	32		because		x		data,own_claim
